MosquitoID,Date.of.Collection,Marker,Size,Height
03C-05,03/09/14,D10S1248,100.38,1959
03C-05,03/09/14,D10S1248,104.56,1474
03C-05,03/09/14,vWA,172.53,659
03C-05,03/09/14,vWA,176.53,518
03C-05,03/09/14,D16S539,244.3,435
03C-05,03/09/14,D16S539,248.4,290
03C-05,03/09/14,D16S539,252.56,231
03C-05,03/09/14,D2S1338,313.66,143
03C-05,03/09/14,D2S1338,317.88,224
03C-05,03/09/14,AMEL,100.57,4693
03C-05,03/09/14,AMEL,106.45,3360
03C-05,03/09/14,D8S1179,140.45,620
03C-05,03/09/14,D8S1179,148.82,973
03C-05,03/09/14,D8S1179,153,774
03C-05,03/09/14,D8S1179,157.18,751
03C-05,03/09/14,D21S11,199.56,1018
03C-05,03/09/14,D21S11,203.53,1244
03C-05,03/09/14,D18S51,296.78,526
03C-05,03/09/14,D18S51,300.84,437
03C-05,03/09/14,D18S51,321.55,645
03C-05,03/09/14,D22S1045,98.31,3343
03C-05,03/09/14,D22S1045,101.43,3692
03C-05,03/09/14,D22S1045,104.47,1589
03C-05,03/09/14,D19S433,138.75,1564
03C-05,03/09/14,D19S433,146.27,3201
03C-05,03/09/14,TH01,188.73,930
03C-05,03/09/14,TH01,192.64,1984
03C-05,03/09/14,FGA,239.57,1223
03C-05,03/09/14,FGA,251.03,1319
03C-05,03/09/14,D2S441,87.65,1927
03C-05,03/09/14,D2S441,99.72,1426
03C-05,03/09/14,D3S1358,147.45,456
03C-05,03/09/14,D3S1358,155.45,1520
03C-05,03/09/14,D1S1656,194.24,886
03C-05,03/09/14,D1S1656,198.14,795
03C-05,03/09/14,D12S391,240.54,1133
03C-05,03/09/14,SE33,348.76,270
03C-05,03/09/14,SE33,353.14,237
03C-05,03/09/14,SE33,355.11,389
03C-04,01/07/15,D10S1248,100.38,4706
03C-04,01/07/15,vWA,168.59,1005
03C-04,01/07/15,vWA,172.52,3595
03C-04,01/07/15,D16S539,244.3,1527
03C-04,01/07/15,D16S539,252.5,538
03C-04,01/07/15,D16S539,256.52,1728
03C-04,01/07/15,D2S1338,293.63,1341
03C-04,01/07/15,D2S1338,313.74,854
03C-04,01/07/15,AMEL,100.57,16832
03C-04,01/07/15,D8S1179,153,8160
03C-04,01/07/15,D8S1179,157.09,3760
03C-04,01/07/15,D21S11,203.62,3141
03C-04,01/07/15,D21S11,207.67,4543
03C-04,01/07/15,D21S11,213.65,1228
03C-04,01/07/15,D18S51,296.69,6816
03C-04,01/07/15,,313.14,966
03C-04,01/07/15,D22S1045,88.95,9765
03C-04,01/07/15,D22S1045,98.2,4322
03C-04,01/07/15,D22S1045,107.61,2941
03C-04,01/07/15,D19S433,131.44,2804
03C-04,01/07/15,D19S433,138.84,5995
03C-04,01/07/15,D19S433,146.36,3550
03C-04,01/07/15,TH01,192.7,8270
03C-04,01/07/15,FGA,239.57,3322
03C-04,01/07/15,FGA,258.47,2103
03C-04,01/07/15,D2S441,87.63,4277
03C-04,01/07/15,D2S441,91.69,2500
03C-04,01/07/15,D2S441,99.53,1530
03C-04,01/07/15,D3S1358,143.55,3536
03C-04,01/07/15,D3S1358,147.45,3298
03C-04,01/07/15,D1S1656,194.3,2417
03C-04,01/07/15,D1S1656,198.22,2301
03C-04,01/07/15,D12S391,240.54,1666
03C-04,01/07/15,D12S391,257.45,1787
03C-04,01/07/15,SE33,355.13,1133
03C-04,01/07/15,SE33,357.1,1721
03C-05,01/07/14,D10S1248,100.48,2592
03C-05,01/07/14,D10S1248,104.51,2731
03C-05,01/07/14,vWA,172.55,3090
03C-05,01/07/14,D16S539,244.34,1644
03C-05,01/07/14,D16S539,252.52,1176
03C-05,01/07/14,D2S1338,313.74,1070
03C-05,01/07/14,D2S1338,317.88,507
03C-05,01/07/14,AMEL,100.58,7967
03C-05,01/07/14,AMEL,106.42,4384
03C-05,01/07/14,D8S1179,140.37,2920
03C-05,01/07/14,D8S1179,148.84,1056
03C-05,01/07/14,D8S1179,152.9,1220
03C-05,01/07/14,D8S1179,157.14,2831
03C-05,01/07/14,D21S11,199.55,4082
03C-05,01/07/14,D21S11,203.57,3534
03C-05,01/07/14,D18S51,296.74,2385
03C-05,01/07/14,D18S51,300.85,2523
03C-05,01/07/14,D22S1045,98.28,8072
03C-05,01/07/14,D22S1045,101.35,2231
03C-05,01/07/14,D22S1045,104.51,1692
03C-05,01/07/14,D19S433,138.75,5797
03C-05,01/07/14,D19S433,146.35,4513
03C-05,01/07/14,TH01,192.72,6274
03C-05,01/07/14,FGA,239.56,2694
03C-05,01/07/14,FGA,251.13,865
03C-05,01/07/14,FGA,254.76,909
03C-05,01/07/14,FGA,258.46,2414
03C-05,01/07/14,D2S441,87.57,1139
03C-05,01/07/14,D2S441,91.69,2327
03C-05,01/07/14,D2S441,99.71,3420
03C-05,01/07/14,D3S1358,147.37,2482
03C-05,01/07/14,D3S1358,155.3,2820
03C-05,01/07/14,D1S1656,194.25,4235
03C-05,01/07/14,D12S391,240.54,1639
03C-05,01/07/14,D12S391,248.74,1522
03C-05,01/07/14,SE33,348.75,1463
03C-05,01/07/14,SE33,355.07,1810
03C-06,02/07/14,D10S1248,104.59,2012
03C-06,02/07/14,vWA,172.58,4562
03C-06,02/07/14,vWA,176.52,1691
03C-06,02/07/14,vWA,188.63,2768
03C-06,02/07/14,D16S539,244.39,3725
03C-06,02/07/14,D16S539,248.49,3145
03C-06,02/07/14,D16S539,252.58,2864
03C-06,02/07/14,D2S1338,317.85,3380
03C-06,02/07/14,D2S1338,322.09,2966
03C-06,02/07/14,AMEL,100.58,19161
03C-06,02/07/14,D8S1179,140.46,4086
03C-06,02/07/14,D8S1179,152.97,10162
03C-06,02/07/14,D8S1179,157.08,6255
03C-06,02/07/14,D21S11,199.55,11181
03C-06,02/07/14,D21S11,203.55,11159
03C-06,02/07/14,D18S51,296.75,3333
03C-06,02/07/14,D18S51,300.84,1865
03C-06,02/07/14,D18S51,321.57,4124
03C-06,02/07/14,D22S1045,98.29,11457
03C-06,02/07/14,D22S1045,101.34,7698
03C-06,02/07/14,D22S1045,104.49,4261
03C-06,02/07/14,D19S433,138.83,9229
03C-06,02/07/14,D19S433,146.3,8548
03C-06,02/07/14,TH01,188.72,9359
03C-06,02/07/14,TH01,192.66,9206
03C-06,02/07/14,FGA,239.56,2910
03C-06,02/07/14,FGA,251.03,3050
03C-06,02/07/14,FGA,254.72,1610
03C-06,02/07/14,FGA,258.47,1501
03C-06,02/07/14,D2S441,87.64,2920
03C-06,02/07/14,D2S441,91.73,5701
03C-06,02/07/14,D2S441,99.72,4882
03C-06,02/07/14,D3S1358,147.4,5001
03C-06,02/07/14,D3S1358,155.34,5118
03C-06,02/07/14,D1S1656,194.27,3920
03C-06,02/07/14,D1S1656,198.12,3461
03C-06,02/07/14,D12S391,236.67,2080
03C-06,02/07/14,D12S391,240.63,2019
03C-06,02/07/14,D12S391,248.67,1685
03C-06,02/07/14,SE33,348.71,2238
03C-06,02/07/14,SE33,353.02,2400
03C-06,02/07/14,SE33,355,2312
03C-08,02/07/14,D10S1248,100.48,3255
03C-08,02/07/14,D10S1248,104.55,2861
03C-08,02/07/14,vWA,172.58,2355
03C-08,02/07/14,vWA,176.61,1707
03C-08,02/07/14,vWA,188.69,3558
03C-08,02/07/14,D16S539,244.39,1863
03C-08,02/07/14,D16S539,248.49,3723
03C-08,02/07/14,D16S539,252.58,1877
03C-08,02/07/14,D2S1338,317.88,3050
03C-08,02/07/14,D2S1338,321.99,1093
03C-08,02/07/14,AMEL,100.57,17284
03C-08,02/07/14,D8S1179,148.76,4080
03C-08,02/07/14,D8S1179,152.96,7880
03C-08,02/07/14,D8S1179,157.07,4418
03C-08,02/07/14,D21S11,199.56,8495
03C-08,02/07/14,D21S11,203.6,7781
03C-08,02/07/14,D18S51,296.67,2792
03C-08,02/07/14,D18S51,308.98,1853
03C-08,02/07/14,D18S51,321.56,3682
03C-08,02/07/14,D22S1045,98.3,5981
03C-08,02/07/14,D22S1045,101.43,8649
03C-08,02/07/14,D22S1045,104.46,3531
03C-08,02/07/14,D19S433,138.75,8123
03C-08,02/07/14,D19S433,146.3,7402
03C-08,02/07/14,TH01,188.78,7537
03C-08,02/07/14,TH01,192.7,7610
03C-08,02/07/14,FGA,239.65,2928
03C-08,02/07/14,FGA,251.12,4545
03C-08,02/07/14,FGA,254.81,1823
03C-08,02/07/14,D2S441,87.61,2351
03C-08,02/07/14,D2S441,91.68,3134
03C-08,02/07/14,D2S441,99.72,6107
03C-08,02/07/14,D3S1358,147.3,5207
03C-08,02/07/14,D3S1358,155.34,4366
03C-08,02/07/14,D1S1656,194.31,3814
03C-08,02/07/14,D1S1656,198.13,3860
03C-08,02/07/14,D12S391,236.7,3040
03C-08,02/07/14,D12S391,240.63,1309
03C-08,02/07/14,D12S391,248.76,1432
03C-08,02/07/14,SE33,348.71,1997
03C-08,02/07/14,SE33,353.02,2942
03C-08,02/07/14,SE33,355,1207
03C-01,03/09/14,D10S1248,100.48,2617
03C-01,03/09/14,D10S1248,104.55,1163
03C-01,03/09/14,vWA,172.52,969
03C-01,03/09/14,vWA,176.44,371
03C-01,03/09/14,vWA,188.63,770
03C-01,03/09/14,D16S539,244.39,410
03C-01,03/09/14,D16S539,248.49,643
03C-01,03/09/14,D16S539,252.58,503
03C-01,03/09/14,D2S1338,317.88,716
03C-01,03/09/14,D2S1338,321.99,592
03C-01,03/09/14,AMEL,100.67,8333
03C-01,03/09/14,D8S1179,140.45,772
03C-01,03/09/14,D8S1179,153,2452
03C-01,03/09/14,D8S1179,157.09,1166
03C-01,03/09/14,D21S11,199.64,1806
03C-01,03/09/14,D21S11,203.62,1655
03C-01,03/09/14,D18S51,296.76,1664
03C-01,03/09/14,D18S51,300.84,515
03C-01,03/09/14,D18S51,321.56,1456
03C-01,03/09/14,D22S1045,98.3,4099
03C-01,03/09/14,D22S1045,101.43,2902
03C-01,03/09/14,D22S1045,104.55,1798
03C-01,03/09/14,D19S433,138.84,3007
03C-01,03/09/14,D19S433,146.36,3493
03C-01,03/09/14,TH01,188.72,1747
03C-01,03/09/14,TH01,192.67,2254
03C-01,03/09/14,FGA,239.56,1363
03C-01,03/09/14,FGA,251.12,1050
03C-01,03/09/14,FGA,254.81,602
03C-01,03/09/14,FGA,258.47,543
03C-01,03/09/14,D2S441,87.7,1244
03C-01,03/09/14,D2S441,91.78,2212
03C-01,03/09/14,D2S441,99.72,1475
03C-01,03/09/14,D3S1358,147.36,1773
03C-01,03/09/14,D3S1358,155.36,1474
03C-01,03/09/14,D1S1656,194.28,1370
03C-01,03/09/14,D1S1656,198.12,1500
03C-01,03/09/14,D12S391,236.69,860
03C-01,03/09/14,D12S391,240.54,600
03C-01,03/09/14,D12S391,248.67,583
03C-01,03/09/14,SE33,348.71,661
03C-01,03/09/14,SE33,352.93,678
03C-01,03/09/14,SE33,355.09,532
03C-09,30/06/14,D10S1248,100.39,924
03C-09,30/06/14,D10S1248,104.52,849
03C-09,30/06/14,vWA,168.53,814
03C-09,30/06/14,vWA,172.6,659
03C-09,30/06/14,D16S539,252.61,509
03C-09,30/06/14,D16S539,256.58,455
03C-09,30/06/14,D2S1338,293.67,334
03C-09,30/06/14,D2S1338,309.73,263
03C-09,30/06/14,AMEL,100.58,4348
03C-09,30/06/14,D8S1179,153,2644
03C-09,30/06/14,D21S11,207.57,1170
03C-09,30/06/14,D21S11,213.64,1074
03C-09,30/06/14,D18S51,296.71,951
03C-09,30/06/14,D18S51,313.13,725
03C-09,30/06/14,D22S1045,88.97,3241
03C-09,30/06/14,D22S1045,107.57,2160
03C-09,30/06/14,D19S433,131.42,1994
03C-09,30/06/14,D19S433,138.83,1782
03C-09,30/06/14,TH01,192.69,2358
03C-09,30/06/14,FGA,239.56,1030
03C-09,30/06/14,FGA,251.13,808
03C-09,30/06/14,D2S441,87.62,1551
03C-09,30/06/14,D2S441,99.62,1128
03C-09,30/06/14,D3S1358,143.59,831
03C-09,30/06/14,D3S1358,147.47,912
03C-09,30/06/14,D1S1656,194.32,897
03C-09,30/06/14,D1S1656,198.2,765
03C-09,30/06/14,D12S391,240.64,579
03C-09,30/06/14,D12S391,257.43,474
03C-09,30/06/14,SE33,357.12,467
03C-09,30/06/14,SE33,369.43,369
03C-08,02/07/14,D10S1248,100.48,694
03C-08,02/07/14,D10S1248,104.61,694
03C-08,02/07/14,vWA,172.61,404
03C-08,02/07/14,vWA,176.58,244
03C-08,02/07/14,vWA,188.71,700
03C-08,02/07/14,D16S539,244.47,232
03C-08,02/07/14,D16S539,248.55,627
03C-08,02/07/14,D16S539,252.61,288
03C-08,02/07/14,D2S1338,317.94,594
03C-08,02/07/14,AMEL,100.58,3570
03C-08,02/07/14,D8S1179,148.79,646
03C-08,02/07/14,D8S1179,152.96,1367
03C-08,02/07/14,D8S1179,157.13,926
03C-08,02/07/14,D21S11,199.64,1602
03C-08,02/07/14,D21S11,203.66,1471
03C-08,02/07/14,D18S51,296.81,697
03C-08,02/07/14,D18S51,308.95,520
03C-08,02/07/14,D18S51,321.58,668
03C-08,02/07/14,D22S1045,98.28,1110
03C-08,02/07/14,D22S1045,101.35,1418
03C-08,02/07/14,D22S1045,104.42,552
03C-08,02/07/14,D19S433,138.74,1700
03C-08,02/07/14,D19S433,146.29,1226
03C-08,02/07/14,TH01,188.8,1476
03C-08,02/07/14,TH01,192.78,1323
03C-08,02/07/14,FGA,239.65,729
03C-08,02/07/14,FGA,251.13,1419
03C-08,02/07/14,FGA,254.85,699
03C-08,02/07/14,D2S441,87.57,549
03C-08,02/07/14,D2S441,91.69,775
03C-08,02/07/14,D2S441,99.71,1150
03C-08,02/07/14,D3S1358,147.31,1018
03C-08,02/07/14,D3S1358,155.37,989
03C-08,02/07/14,D1S1656,194.32,968
03C-08,02/07/14,D1S1656,198.2,790
03C-08,02/07/14,D12S391,240.55,484
03C-08,02/07/14,D12S391,248.74,419
03C-08,02/07/14,SE33,348.79,499
03C-08,02/07/14,SE33,352.96,634
03C-08,02/07/14,SE33,355.05,301
06F-05,22/09/14,D10S1248,100.48,1700
06F-05,22/09/14,D10S1248,104.59,1106
06F-05,22/09/14,vWA,172.49,767
06F-05,22/09/14,vWA,188.67,681
06F-05,22/09/14,D16S539,244.34,858
06F-05,22/09/14,D2S1338,313.74,264
06F-05,22/09/14,D2S1338,317.88,256
06F-05,22/09/14,AMEL,100.58,5038
06F-05,22/09/14,D8S1179,140.37,1850
06F-05,22/09/14,D8S1179,148.85,1767
06F-05,22/09/14,D21S11,199.55,2550
06F-05,22/09/14,D18S51,300.77,730
06F-05,22/09/14,D18S51,308.96,790
06F-05,22/09/14,D22S1045,98.29,2986
06F-05,22/09/14,D22S1045,104.5,3149
06F-05,22/09/14,D19S433,138.74,3498
06F-05,22/09/14,D19S433,146.27,2521
06F-05,22/09/14,TH01,192.72,2004
06F-05,22/09/14,FGA,254.77,1994
06F-05,22/09/14,FGA,258.46,1617
06F-05,22/09/14,D2S441,99.71,3478
06F-05,22/09/14,D3S1358,147.37,1090
06F-05,22/09/14,D3S1358,155.3,1032
06F-05,22/09/14,D1S1656,194.25,1011
06F-05,22/09/14,D1S1656,198.11,984
06F-05,22/09/14,D12S391,236.68,454
06F-05,22/09/14,D12S391,240.54,515
06F-05,22/09/14,SE33,352.99,476
06F-05,22/09/14,SE33,355.06,604
06F-05,24/09/14,D10S1248,92.18,454
06F-05,24/09/14,D10S1248,99.44,327
06F-05,24/09/14,D10S1248,100.38,1079
06F-05,24/09/14,D10S1248,103.52,347
06F-05,24/09/14,D10S1248,104.47,1069
06F-05,24/09/14,vWA,172.47,1986
06F-05,24/09/14,vWA,176.55,813
06F-05,24/09/14,D16S539,244.35,1753
06F-05,24/09/14,D16S539,248.5,622
06F-05,24/09/14,D2S1338,305.56,439
06F-05,24/09/14,D2S1338,326.03,248
06F-05,24/09/14,D2S1338,330.06,246
06F-05,24/09/14,D2S1338,334.06,428
06F-05,24/09/14,AMEL,100.57,10442
06F-05,24/09/14,D8S1179,140.63,2167
06F-05,24/09/14,D8S1179,148.87,2629
06F-05,24/09/14,D8S1179,157.1,2010
06F-05,24/09/14,D21S11,195.57,2268
06F-05,24/09/14,D21S11,203.59,2360
06F-05,24/09/14,D21S11,207.61,1266
06F-05,24/09/14,D21S11,217.71,1341
06F-05,24/09/14,D18S51,296.69,1742
06F-05,24/09/14,D18S51,300.75,1319
06F-05,24/09/14,D18S51,304.79,1503
06F-05,24/09/14,D18S51,313.06,843
06F-05,24/09/14,D22S1045,92.09,5079
06F-05,24/09/14,D22S1045,104.56,2190
06F-05,24/09/14,D22S1045,107.58,2740
06F-05,24/09/14,D19S433,138.75,2668
06F-05,24/09/14,D19S433,142.53,4920
06F-05,24/09/14,TH01,192.64,5879
06F-05,24/09/14,FGA,250,1329
06F-05,24/09/14,FGA,250.94,2285
06F-05,24/09/14,FGA,254.68,850
06F-05,24/09/14,FGA,261.12,778
06F-05,24/09/14,FGA,262.06,1319
06F-05,24/09/14,D2S441,87.56,3236
06F-05,24/09/14,D2S441,91.62,1552
06F-05,24/09/14,D3S1358,147.33,3489
06F-05,24/09/14,D1S1656,193.44,778
06F-05,24/09/14,D1S1656,194.33,1941
06F-05,24/09/14,D1S1656,197.17,527
06F-05,24/09/14,D1S1656,198.14,1300
06F-05,24/09/14,D1S1656,202.1,633
06F-05,24/09/14,D12S391,243.64,694
06F-05,24/09/14,D12S391,244.71,1036
06F-05,24/09/14,D12S391,251.54,491
06F-05,24/09/14,D12S391,252.47,691
06F-05,24/09/14,D12S391,259.07,313
06F-05,24/09/14,D12S391,260.09,409
06F-05,24/09/14,SE33,342.75,811
06F-05,24/09/14,SE33,365.38,769
06F-05,24/09/14,SE33,400.26,297
06F-05,24/09/14,SE33,408.45,280
06F-09,24/09/14,D10S1248,92.2,944
06F-09,24/09/14,D10S1248,104.49,947
06F-09,24/09/14,vWA,172.48,1862
06F-09,24/09/14,D16S539,248.43,850
06F-09,24/09/14,D16S539,252.45,775
06F-09,24/09/14,D2S1338,325.95,556
06F-09,24/09/14,D2S1338,330.01,426
06F-09,24/09/14,AMEL,100.56,7336
06F-09,24/09/14,D8S1179,148.78,4538
06F-09,24/09/14,D21S11,203.46,632
06F-09,24/09/14,D21S11,207.52,1978
